,sentence1,sentence2,gold_label_log_numeric,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes
514,The child remembers all ladies.,The child doesn't remember all ladies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
515,The child doesn't remember all ladies.,The child remembers all ladies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
516,Some companies proposed to buy that pie.,Not all companies proposed to buy that pie.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
517,Not all companies proposed to buy that pie.,Some companies proposed to buy that pie.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
518,Some companies proposed to buy that pie.,All companies proposed to buy that pie.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
519,All companies proposed to buy that pie.,Some companies proposed to buy that pie.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
520,Not all companies proposed to buy that pie.,No companies proposed to buy that pie.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
521,No companies proposed to buy that pie.,Not all companies proposed to buy that pie.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
522,All companies proposed to buy that pie.,No companies proposed to buy that pie.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
523,No companies proposed to buy that pie.,All companies proposed to buy that pie.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
524,Some companies proposed to buy that pie.,No companies proposed to buy that pie.,-1,contradiction,contradiction,negation,control,quantifier,some - all
525,No companies proposed to buy that pie.,Some companies proposed to buy that pie.,-1,contradiction,contradiction,negation,control,quantifier,some - all
526,All companies proposed to buy that pie.,Not all companies proposed to buy that pie.,-1,contradiction,contradiction,negation,control,quantifier,some - all
527,Not all companies proposed to buy that pie.,All companies proposed to buy that pie.,-1,contradiction,contradiction,negation,control,quantifier,some - all
528,Sheila has returned to some grocery stores.,Sheila hasn't returned to all grocery stores.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
529,Sheila hasn't returned to all grocery stores.,Sheila has returned to some grocery stores.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
530,Sheila has returned to some grocery stores.,Sheila has returned to all grocery stores.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
531,Sheila has returned to all grocery stores.,Sheila has returned to some grocery stores.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
532,Sheila hasn't returned to all grocery stores.,Sheila has returned to no grocery stores.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
533,Sheila has returned to no grocery stores.,Sheila hasn't returned to all grocery stores.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
534,Sheila has returned to all grocery stores.,Sheila has returned to no grocery stores.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
535,Sheila has returned to no grocery stores.,Sheila has returned to all grocery stores.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
536,Sheila has returned to some grocery stores.,Sheila has returned to no grocery stores.,-1,contradiction,contradiction,negation,control,quantifier,some - all
537,Sheila has returned to no grocery stores.,Sheila has returned to some grocery stores.,-1,contradiction,contradiction,negation,control,quantifier,some - all
538,Sheila has returned to all grocery stores.,Sheila hasn't returned to all grocery stores.,-1,contradiction,contradiction,negation,control,quantifier,some - all
539,Sheila hasn't returned to all grocery stores.,Sheila has returned to all grocery stores.,-1,contradiction,contradiction,negation,control,quantifier,some - all
540,Some girls are saluting.,Not all girls are saluting.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
541,Not all girls are saluting.,Some girls are saluting.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
542,Some girls are saluting.,All girls are saluting.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
543,All girls are saluting.,Some girls are saluting.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
544,Not all girls are saluting.,No girls are saluting.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
545,No girls are saluting.,Not all girls are saluting.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
546,All girls are saluting.,No girls are saluting.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
547,No girls are saluting.,All girls are saluting.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
548,Some girls are saluting.,No girls are saluting.,-1,contradiction,contradiction,negation,control,quantifier,some - all
549,No girls are saluting.,Some girls are saluting.,-1,contradiction,contradiction,negation,control,quantifier,some - all
550,All girls are saluting.,Not all girls are saluting.,-1,contradiction,contradiction,negation,control,quantifier,some - all
551,Not all girls are saluting.,All girls are saluting.,-1,contradiction,contradiction,negation,control,quantifier,some - all
552,Martha could criticize some people.,Martha couldn't criticize all people.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
553,Martha couldn't criticize all people.,Martha could criticize some people.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
554,Martha could criticize some people.,Martha could criticize all people.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
555,Martha could criticize all people.,Martha could criticize some people.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
556,Martha couldn't criticize all people.,Martha could criticize no people.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
557,Martha could criticize no people.,Martha couldn't criticize all people.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
558,Martha could criticize all people.,Martha could criticize no people.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
559,Martha could criticize no people.,Martha could criticize all people.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
560,Martha could criticize some people.,Martha could criticize no people.,-1,contradiction,contradiction,negation,control,quantifier,some - all
561,Martha could criticize no people.,Martha could criticize some people.,-1,contradiction,contradiction,negation,control,quantifier,some - all
562,Martha could criticize all people.,Martha couldn't criticize all people.,-1,contradiction,contradiction,negation,control,quantifier,some - all
563,Martha couldn't criticize all people.,Martha could criticize all people.,-1,contradiction,contradiction,negation,control,quantifier,some - all
564,Some gloves should loosen.,Not all gloves should loosen.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
565,Not all gloves should loosen.,Some gloves should loosen.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
566,Some gloves should loosen.,All gloves should loosen.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
567,All gloves should loosen.,Some gloves should loosen.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
568,Not all gloves should loosen.,No gloves should loosen.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
569,No gloves should loosen.,Not all gloves should loosen.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
570,All gloves should loosen.,No gloves should loosen.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
571,No gloves should loosen.,All gloves should loosen.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
572,Some gloves should loosen.,No gloves should loosen.,-1,contradiction,contradiction,negation,control,quantifier,some - all
573,No gloves should loosen.,Some gloves should loosen.,-1,contradiction,contradiction,negation,control,quantifier,some - all
574,All gloves should loosen.,Not all gloves should loosen.,-1,contradiction,contradiction,negation,control,quantifier,some - all
575,Not all gloves should loosen.,All gloves should loosen.,-1,contradiction,contradiction,negation,control,quantifier,some - all
576,Amelia might exit some schools.,Amelia might not exit all schools.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
577,Amelia might not exit all schools.,Amelia might exit some schools.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
578,Amelia might exit some schools.,Amelia might exit all schools.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
579,Amelia might exit all schools.,Amelia might exit some schools.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
580,Amelia might not exit all schools.,Amelia might exit no schools.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
581,Amelia might exit no schools.,Amelia might not exit all schools.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
582,Amelia might exit all schools.,Amelia might exit no schools.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
583,Amelia might exit no schools.,Amelia might exit all schools.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
584,Amelia might exit some schools.,Amelia might exit no schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
585,Amelia might exit no schools.,Amelia might exit some schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
586,Amelia might exit all schools.,Amelia might not exit all schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
587,Amelia might not exit all schools.,Amelia might exit all schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
588,Some people had questioned Steven.,Not all people had questioned Steven.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
589,Not all people had questioned Steven.,Some people had questioned Steven.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
590,Some people had questioned Steven.,All people had questioned Steven.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
591,All people had questioned Steven.,Some people had questioned Steven.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
592,Not all people had questioned Steven.,No people had questioned Steven.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
593,No people had questioned Steven.,Not all people had questioned Steven.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
594,All people had questioned Steven.,No people had questioned Steven.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
595,No people had questioned Steven.,All people had questioned Steven.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
596,Some people had questioned Steven.,No people had questioned Steven.,-1,contradiction,contradiction,negation,control,quantifier,some - all
597,No people had questioned Steven.,Some people had questioned Steven.,-1,contradiction,contradiction,negation,control,quantifier,some - all
598,All people had questioned Steven.,Not all people had questioned Steven.,-1,contradiction,contradiction,negation,control,quantifier,some - all
599,Not all people had questioned Steven.,All people had questioned Steven.,-1,contradiction,contradiction,negation,control,quantifier,some - all
600,Some senators are trying to stun Larry.,Not all senators are trying to stun Larry.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
601,Not all senators are trying to stun Larry.,Some senators are trying to stun Larry.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
602,Some senators are trying to stun Larry.,All senators are trying to stun Larry.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
603,All senators are trying to stun Larry.,Some senators are trying to stun Larry.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
604,Not all senators are trying to stun Larry.,No senators are trying to stun Larry.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
605,No senators are trying to stun Larry.,Not all senators are trying to stun Larry.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
606,All senators are trying to stun Larry.,No senators are trying to stun Larry.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
607,No senators are trying to stun Larry.,All senators are trying to stun Larry.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
608,Some senators are trying to stun Larry.,No senators are trying to stun Larry.,-1,contradiction,contradiction,negation,control,quantifier,some - all
609,No senators are trying to stun Larry.,Some senators are trying to stun Larry.,-1,contradiction,contradiction,negation,control,quantifier,some - all
610,All senators are trying to stun Larry.,Not all senators are trying to stun Larry.,-1,contradiction,contradiction,negation,control,quantifier,some - all
611,Not all senators are trying to stun Larry.,All senators are trying to stun Larry.,-1,contradiction,contradiction,negation,control,quantifier,some - all
612,Stephanie might escape from some guests.,Stephanie might not escape from all guests.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
613,Stephanie might not escape from all guests.,Stephanie might escape from some guests.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
614,Stephanie might escape from some guests.,Stephanie might escape from all guests.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
615,Stephanie might escape from all guests.,Stephanie might escape from some guests.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
616,Stephanie might not escape from all guests.,Stephanie might escape from no guests.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
617,Stephanie might escape from no guests.,Stephanie might not escape from all guests.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
618,Stephanie might escape from all guests.,Stephanie might escape from no guests.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
619,Stephanie might escape from no guests.,Stephanie might escape from all guests.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
620,Stephanie might escape from some guests.,Stephanie might escape from no guests.,-1,contradiction,contradiction,negation,control,quantifier,some - all
621,Stephanie might escape from no guests.,Stephanie might escape from some guests.,-1,contradiction,contradiction,negation,control,quantifier,some - all
622,Stephanie might escape from all guests.,Stephanie might not escape from all guests.,-1,contradiction,contradiction,negation,control,quantifier,some - all
623,Stephanie might not escape from all guests.,Stephanie might escape from all guests.,-1,contradiction,contradiction,negation,control,quantifier,some - all
624,Nina will describe some students.,Nina won't describe all students.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
625,Nina won't describe all students.,Nina will describe some students.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
626,Nina will describe some students.,Nina will describe all students.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
627,Nina will describe all students.,Nina will describe some students.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
628,Nina won't describe all students.,Nina will describe no students.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
629,Nina will describe no students.,Nina won't describe all students.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
630,Nina will describe all students.,Nina will describe no students.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
631,Nina will describe no students.,Nina will describe all students.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
632,Nina will describe some students.,Nina will describe no students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
633,Nina will describe no students.,Nina will describe some students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
634,Nina will describe all students.,Nina won't describe all students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
635,Nina won't describe all students.,Nina will describe all students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
636,This patient could admire some cats.,This patient couldn't admire all cats.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
637,This patient couldn't admire all cats.,This patient could admire some cats.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
638,This patient could admire some cats.,This patient could admire all cats.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
639,This patient could admire all cats.,This patient could admire some cats.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
640,This patient couldn't admire all cats.,This patient could admire no cats.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
641,This patient could admire no cats.,This patient couldn't admire all cats.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
642,This patient could admire all cats.,This patient could admire no cats.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
643,This patient could admire no cats.,This patient could admire all cats.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
644,This patient could admire some cats.,This patient could admire no cats.,-1,contradiction,contradiction,negation,control,quantifier,some - all
645,This patient could admire no cats.,This patient could admire some cats.,-1,contradiction,contradiction,negation,control,quantifier,some - all
646,This patient could admire all cats.,This patient couldn't admire all cats.,-1,contradiction,contradiction,negation,control,quantifier,some - all
647,This patient couldn't admire all cats.,This patient could admire all cats.,-1,contradiction,contradiction,negation,control,quantifier,some - all
648,Some senators are longing to drink.,Not all senators are longing to drink.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
649,Not all senators are longing to drink.,Some senators are longing to drink.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
650,Some senators are longing to drink.,All senators are longing to drink.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
651,All senators are longing to drink.,Some senators are longing to drink.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
652,Not all senators are longing to drink.,No senators are longing to drink.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
653,No senators are longing to drink.,Not all senators are longing to drink.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
654,All senators are longing to drink.,No senators are longing to drink.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
655,No senators are longing to drink.,All senators are longing to drink.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
656,Some senators are longing to drink.,No senators are longing to drink.,-1,contradiction,contradiction,negation,control,quantifier,some - all
657,No senators are longing to drink.,Some senators are longing to drink.,-1,contradiction,contradiction,negation,control,quantifier,some - all
658,All senators are longing to drink.,Not all senators are longing to drink.,-1,contradiction,contradiction,negation,control,quantifier,some - all
659,Not all senators are longing to drink.,All senators are longing to drink.,-1,contradiction,contradiction,negation,control,quantifier,some - all
660,Some people are tempting some dancers' brothers to reunite.,Not all people are tempting some dancers' brothers to reunite.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
661,Not all people are tempting some dancers' brothers to reunite.,Some people are tempting some dancers' brothers to reunite.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
662,Some people are tempting some dancers' brothers to reunite.,All people are tempting some dancers' brothers to reunite.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
663,All people are tempting some dancers' brothers to reunite.,Some people are tempting some dancers' brothers to reunite.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
664,Not all people are tempting some dancers' brothers to reunite.,No people are tempting some dancers' brothers to reunite.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
665,No people are tempting some dancers' brothers to reunite.,Not all people are tempting some dancers' brothers to reunite.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
666,All people are tempting some dancers' brothers to reunite.,No people are tempting some dancers' brothers to reunite.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
667,No people are tempting some dancers' brothers to reunite.,All people are tempting some dancers' brothers to reunite.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
668,Some people are tempting some dancers' brothers to reunite.,No people are tempting some dancers' brothers to reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
669,No people are tempting some dancers' brothers to reunite.,Some people are tempting some dancers' brothers to reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
670,All people are tempting some dancers' brothers to reunite.,Not all people are tempting some dancers' brothers to reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
671,Not all people are tempting some dancers' brothers to reunite.,All people are tempting some dancers' brothers to reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
672,Aaron had talked about some cashiers.,Aaron hadn't talked about all cashiers.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
673,Aaron hadn't talked about all cashiers.,Aaron had talked about some cashiers.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
674,Aaron had talked about some cashiers.,Aaron had talked about all cashiers.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
675,Aaron had talked about all cashiers.,Aaron had talked about some cashiers.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
676,Aaron hadn't talked about all cashiers.,Aaron had talked about no cashiers.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
677,Aaron had talked about no cashiers.,Aaron hadn't talked about all cashiers.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
678,Aaron had talked about all cashiers.,Aaron had talked about no cashiers.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
679,Aaron had talked about no cashiers.,Aaron had talked about all cashiers.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
680,Aaron had talked about some cashiers.,Aaron had talked about no cashiers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
681,Aaron had talked about no cashiers.,Aaron had talked about some cashiers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
682,Aaron had talked about all cashiers.,Aaron hadn't talked about all cashiers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
683,Aaron hadn't talked about all cashiers.,Aaron had talked about all cashiers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
684,Some organizations induced Jane's grandmother to move.,Not all organizations induced Jane's grandmother to move.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
685,Not all organizations induced Jane's grandmother to move.,Some organizations induced Jane's grandmother to move.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
686,Some organizations induced Jane's grandmother to move.,All organizations induced Jane's grandmother to move.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
687,All organizations induced Jane's grandmother to move.,Some organizations induced Jane's grandmother to move.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
688,Not all organizations induced Jane's grandmother to move.,No organizations induced Jane's grandmother to move.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
689,No organizations induced Jane's grandmother to move.,Not all organizations induced Jane's grandmother to move.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
690,All organizations induced Jane's grandmother to move.,No organizations induced Jane's grandmother to move.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
691,No organizations induced Jane's grandmother to move.,All organizations induced Jane's grandmother to move.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
692,Some organizations induced Jane's grandmother to move.,No organizations induced Jane's grandmother to move.,-1,contradiction,contradiction,negation,control,quantifier,some - all
693,No organizations induced Jane's grandmother to move.,Some organizations induced Jane's grandmother to move.,-1,contradiction,contradiction,negation,control,quantifier,some - all
694,All organizations induced Jane's grandmother to move.,Not all organizations induced Jane's grandmother to move.,-1,contradiction,contradiction,negation,control,quantifier,some - all
695,Not all organizations induced Jane's grandmother to move.,All organizations induced Jane's grandmother to move.,-1,contradiction,contradiction,negation,control,quantifier,some - all
696,Leslie should sell some pies.,Leslie shouldn't sell all pies.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
697,Leslie shouldn't sell all pies.,Leslie should sell some pies.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
698,Leslie should sell some pies.,Leslie should sell all pies.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
699,Leslie should sell all pies.,Leslie should sell some pies.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
700,Leslie shouldn't sell all pies.,Leslie should sell no pies.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
701,Leslie should sell no pies.,Leslie shouldn't sell all pies.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
702,Leslie should sell all pies.,Leslie should sell no pies.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
703,Leslie should sell no pies.,Leslie should sell all pies.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
704,Leslie should sell some pies.,Leslie should sell no pies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
705,Leslie should sell no pies.,Leslie should sell some pies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
706,Leslie should sell all pies.,Leslie shouldn't sell all pies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
707,Leslie shouldn't sell all pies.,Leslie should sell all pies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
708,Andrew could approach some waitresses.,Andrew couldn't approach all waitresses.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
709,Andrew couldn't approach all waitresses.,Andrew could approach some waitresses.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
710,Andrew could approach some waitresses.,Andrew could approach all waitresses.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
711,Andrew could approach all waitresses.,Andrew could approach some waitresses.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
712,Andrew couldn't approach all waitresses.,Andrew could approach no waitresses.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
713,Andrew could approach no waitresses.,Andrew couldn't approach all waitresses.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
714,Andrew could approach all waitresses.,Andrew could approach no waitresses.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
715,Andrew could approach no waitresses.,Andrew could approach all waitresses.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
716,Andrew could approach some waitresses.,Andrew could approach no waitresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
717,Andrew could approach no waitresses.,Andrew could approach some waitresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
718,Andrew could approach all waitresses.,Andrew couldn't approach all waitresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
719,Andrew couldn't approach all waitresses.,Andrew could approach all waitresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
720,Homer would heal some women.,Homer wouldn't heal all women.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
721,Homer wouldn't heal all women.,Homer would heal some women.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
722,Homer would heal some women.,Homer would heal all women.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
723,Homer would heal all women.,Homer would heal some women.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
724,Homer wouldn't heal all women.,Homer would heal no women.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
725,Homer would heal no women.,Homer wouldn't heal all women.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
726,Homer would heal all women.,Homer would heal no women.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
727,Homer would heal no women.,Homer would heal all women.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
728,Homer would heal some women.,Homer would heal no women.,-1,contradiction,contradiction,negation,control,quantifier,some - all
729,Homer would heal no women.,Homer would heal some women.,-1,contradiction,contradiction,negation,control,quantifier,some - all
730,Homer would heal all women.,Homer wouldn't heal all women.,-1,contradiction,contradiction,negation,control,quantifier,some - all
731,Homer wouldn't heal all women.,Homer would heal all women.,-1,contradiction,contradiction,negation,control,quantifier,some - all
732,Some waiters remembered some students.,Some waiters didn't remember all students.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
733,Some waiters didn't remember all students.,Some waiters remembered some students.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
734,Some waiters remembered some students.,Some waiters remembered all students.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
735,Some waiters remembered all students.,Some waiters remembered some students.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
736,Some waiters didn't remember all students.,Some waiters remembered no students.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
737,Some waiters remembered no students.,Some waiters didn't remember all students.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
738,Some waiters remembered all students.,Some waiters remembered no students.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
739,Some waiters remembered no students.,Some waiters remembered all students.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
740,Some waiters remembered some students.,Some waiters remembered no students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
741,Some waiters remembered no students.,Some waiters remembered some students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
742,Some waiters remembered all students.,Some waiters didn't remember all students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
743,Some waiters didn't remember all students.,Some waiters remembered all students.,-1,contradiction,contradiction,negation,control,quantifier,some - all
744,Some people should reference the essays.,Not all people should reference the essays.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
745,Not all people should reference the essays.,Some people should reference the essays.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
746,Some people should reference the essays.,All people should reference the essays.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
747,All people should reference the essays.,Some people should reference the essays.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
748,Not all people should reference the essays.,No people should reference the essays.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
749,No people should reference the essays.,Not all people should reference the essays.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
750,All people should reference the essays.,No people should reference the essays.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
751,No people should reference the essays.,All people should reference the essays.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
752,Some people should reference the essays.,No people should reference the essays.,-1,contradiction,contradiction,negation,control,quantifier,some - all
753,No people should reference the essays.,Some people should reference the essays.,-1,contradiction,contradiction,negation,control,quantifier,some - all
